Species;Otdel;N;B;Date;Horizon;Station
Cerataulina dentata;Bacil;4571.00;29.06;2013-10-17;0;Садок
Chaetoceros didymus;Bacil;429.00;0.73;2013-10-17;0;Садок
Cocconeis scutellum;Bacil;143.00;0.19;2013-10-17;0;Садок
Eucampia zodiacus;Bacil;286.00;4.78;2013-10-17;0;Садок
Licmophora abbreviata;Bacil;286.00;0.17;2013-10-17;0;Садок
Pseudo–nitzschia pungens;Bacil;286.00;4.29;2013-10-17;0;Садок
Pleurosigma formosum;Bacil;286.00;17.14;2013-10-17;0;Садок
Rhizosolenia setigera;Bacil;1429.00;69.91;2013-10-17;0;Садок
Thalassionema frauenfeldii;Bacil;143.00;1.45;2013-10-17;0;Садок
Thalassionema nitzschioides;Bacil;429.00;1.91;2013-10-17;0;Садок
Ceratium fusus;Dino;143.00;4.93;2013-10-17;0;Садок
Gymnodinium simplex;Dino;143.00;0.04;2013-10-17;0;Садок
Gyrodinium falcatum;Dino;143.00;3.83;2013-10-17;0;Садок
Gyrodinium spirale;Dino;429.00;47.51;2013-10-17;0;Садок
Protoperidinium conicum;Dino;143.00;17.47;2013-10-17;0;Садок
Protoperidinium minutum;Dino;286.00;4.69;2013-10-17;0;Садок
Prorocentrum micans;Dino;571.00;6.74;2013-10-17;0;Садок
Prorocentrum triestinum;Dino;143.00;0.20;2013-10-17;0;Садок
Scrippsiella trochoidea;Dino;286.00;1.71;2013-10-17;0;Садок
Dictyocha fibula;Chry;2571.00;245.69;2013-10-17;2;Садок
Ebria tripartita;Chry;143.00;2.02;2013-10-17;2;Садок
Cerataulina dentata;Bacil;2000.00;12.71;2013-10-17;2;Садок
Coscinodiscus sp.;Bacil;143.00;39.82;2013-10-17;2;Садок
Ditylum brightwellii;Bacil;143.00;6.79;2013-10-17;2;Садок
Eucampia zodiacus;Bacil;143.00;2.39;2013-10-17;2;Садок
Leptocylindrus danicus;Bacil;4857.00;12.56;2013-10-17;2;Садок
Navicula directa;Bacil;429.00;0.80;2013-10-17;2;Садок
Pseudo–nitzschia pungens;Bacil;7857.00;117.86;2013-10-17;2;Садок
Pleurosigma formosum;Bacil;571.00;34.29;2013-10-17;2;Садок
Rhizosolenia setigera;Bacil;2714.00;132.83;2013-10-17;2;Садок
Skeletonema sp.;Bacil;9429.00;5.43;2013-10-17;2;Садок
Thalassionema frauenfeldii;Bacil;1286.00;13.08;2013-10-17;2;Садок
Thalassionema nitzschioides;Bacil;2571.00;11.43;2013-10-17;2;Садок
Thalassiosira sp. (d=32);Bacil;857.00;6.89;2013-10-17;2;Садок
Dinophysis acuminata;Dino;286.00;10.55;2013-10-17;2;Садок
Gymnodinium simplex;Dino;286.00;0.08;2013-10-17;2;Садок
Gyrodinium spirale;Dino;143.00;15.84;2013-10-17;2;Садок
Oblea rotundata;Dino;143.00;0.68;2013-10-17;2;Садок
Protoperidinium bipes;Dino;143.00;0.37;2013-10-17;2;Садок
Protoperidinium conicum;Dino;714.00;87.33;2013-10-17;2;Садок
Prorocentrum micans;Dino;1429.00;16.86;2013-10-17;2;Садок
Prorocentrum minimum;Dino;429.00;0.56;2013-10-17;2;Садок
Dictyocha fibula;Chry;1857.00;177.44;2013-10-17;5;Садок
Dictyocha speculum;Chry;143.00;0.49;2013-10-17;5;Садок
Cerataulina dentata;Bacil;1143.00;7.26;2013-10-17;5;Садок
Chaetoceros affinis;Bacil;571.00;2.09;2013-10-17;5;Садок
Coscinodiscus sp.;Bacil;429.00;119.47;2013-10-17;5;Садок
Ditylum brightwellii;Bacil;143.00;6.79;2013-10-17;5;Садок
Eucampia zodiacus;Bacil;1000.00;16.74;2013-10-17;5;Садок
Leptocylindrus danicus;Bacil;1429.00;3.69;2013-10-17;5;Садок
Licmophora abbreviata;Bacil;143.00;0.09;2013-10-17;5;Садок
Pseudo–nitzschia pungens;Bacil;7000.00;105.00;2013-10-17;5;Садок
Pleurosigma formosum;Bacil;429.00;25.71;2013-10-17;5;Садок
Rhizosolenia setigera;Bacil;1857.00;90.88;2013-10-17;5;Садок
Guinardia striata;Bacil;429.00;1.54;2013-10-17;5;Садок
Skeletonema sp.;Bacil;24286.00;13.99;2013-10-17;5;Садок
Thalassionema frauenfeldii;Bacil;571.00;5.81;2013-10-17;5;Садок
Thalassionema nitzschioides;Bacil;571.00;2.54;2013-10-17;5;Садок
Ceratium fusus;Dino;143.00;4.93;2013-10-17;5;Садок
Gyrodinium falcatum;Dino;143.00;3.83;2013-10-17;5;Садок
Gyrodinium spirale;Dino;143.00;15.84;2013-10-17;5;Садок
Protoperidinium conicum;Dino;286.00;34.93;2013-10-17;5;Садок
Prorocentrum micans;Dino;571.00;6.74;2013-10-17;5;Садок
Prorocentrum triestinum;Dino;143.00;0.20;2013-10-17;5;Садок
Dictyocha fibula;Chry;571.00;54.60;2013-11-01;0;Садок
Ebria tripartita;Chry;143.00;2.02;2013-11-01;0;Садок
Bacteriastrum furcatum;Bacil;143.00;0.40;2013-11-01;0;Садок
Cerataulina dentata;Bacil;286.00;1.82;2013-11-01;0;Садок
Ditylum brightwellii;Bacil;143.00;6.79;2013-11-01;0;Садок
Pseudo–nitzschia pungens;Bacil;1571.00;23.57;2013-11-01;0;Садок
Rhizosolenia setigera;Bacil;571.00;27.96;2013-11-01;0;Садок
Skeletonema sp.;Bacil;64000.00;36.86;2013-11-01;0;Садок
Thalassionema frauenfeldii;Bacil;3000.00;30.52;2013-11-01;0;Садок
Thalassionema nitzschioides;Bacil;2000.00;8.89;2013-11-01;0;Садок
Dinophysis infundibula;Dino;143.00;1.21;2013-11-01;0;Садок
Dinophysis rotundata;Dino;143.00;1.70;2013-11-01;0;Садок
Gyrodinium falcatum;Dino;143.00;3.83;2013-11-01;0;Садок
Protoperidinium conicum;Dino;857.00;104.79;2013-11-01;0;Садок
Protoperidinium pellucidum;Dino;286.00;2.57;2013-11-01;0;Садок
Dictyocha fibula;Chry;136.00;12.97;2013-11-01;2;Садок
Cocconeis scutellum;Bacil;271.00;0.35;2013-11-01;2;Садок
Pseudo–nitzschia pungens;Bacil;271.00;4.07;2013-11-01;2;Садок
Pleurosigma formosum;Bacil;136.00;8.14;2013-11-01;2;Садок
Rhizosolenia setigera;Bacil;136.00;6.64;2013-11-01;2;Садок
Skeletonema costatum;Bacil;39086.00;22.51;2013-11-01;2;Садок
Thalassionema frauenfeldii;Bacil;2850.00;28.99;2013-11-01;2;Садок
Thalassionema nitzschioides;Bacil;1493.00;6.64;2013-11-01;2;Садок
Oblea rotundata;Dino;407.00;1.92;2013-11-01;2;Садок
Protoperidinium conicum;Dino;407.00;49.78;2013-11-01;2;Садок
Dictyocha fibula;Chry;143.00;13.65;2013-11-01;5;Садок
Cerataulina pelagica;Bacil;143.00;1.18;2013-11-01;5;Садок
Pseudo–nitzschia pungens;Bacil;3714.00;55.71;2013-11-01;5;Садок
Rhizosolenia setigera;Bacil;1286.00;62.92;2013-11-01;5;Садок
Skeletonema sp.;Bacil;38571.00;22.22;2013-11-01;5;Садок
Thalassionema frauenfeldii;Bacil;3286.00;33.43;2013-11-01;5;Садок
Thalassionema nitzschioides;Bacil;143.00;0.64;2013-11-01;5;Садок
Gyrodinium falcatum;Dino;143.00;3.83;2013-11-01;5;Садок
Protoperidinium pellucidum;Dino;429.00;3.86;2013-11-01;5;Садок
Dictyocha fibula;Chry;1029.00;98.28;2013-11-13;0;Садок
Cocconeis scutellum;Bacil;129.00;0.17;2013-11-13;0;Садок
Coscinodiscus sp.;Bacil;257.00;71.68;2013-11-13;0;Садок
Ceratoneis closterium;Bacil;257.00;0.14;2013-11-13;0;Садок
Grammatophora marina;Bacil;257.00;2.81;2013-11-13;0;Садок
Pseudo–nitzschia pungens;Bacil;2186.00;32.79;2013-11-13;0;Садок
Skeletonema sp.;Bacil;46029.00;26.51;2013-11-13;0;Садок
Thalassionema frauenfeldii;Bacil;9257.00;94.17;2013-11-13;0;Садок
Thalassionema nitzschioides;Bacil;3086.00;13.72;2013-11-13;0;Садок
Protoperidinium pellucidum;Dino;643.00;5.78;2013-11-13;0;Садок
Prorocentrum micans;Dino;386.00;4.55;2013-11-13;0;Садок
Dictyocha fibula;Chry;129.00;12.28;2013-11-13;2;Садок
Dictyocha speculum;Chry;129.00;0.44;2013-11-13;2;Садок
Chaetoceros convolutus;Bacil;257.00;1.76;2013-11-13;2;Садок
Coscinodiscus sp.;Bacil;1286.00;358.41;2013-11-13;2;Садок
Pseudo–nitzschia calliantha;Bacil;5014.00;1.91;2013-11-13;2;Садок
Pseudo–nitzschia pungens;Bacil;3343.00;50.14;2013-11-13;2;Садок
Skeletonema sp.;Bacil;188229.00;108.42;2013-11-13;2;Садок
Thalassionema frauenfeldii;Bacil;7329.00;74.55;2013-11-13;2;Садок
Dinophysis rotundata;Dino;257.00;3.05;2013-11-13;2;Садок
Gyrodinium spirale;Dino;1543.00;171.04;2013-11-13;2;Садок
Oblea rotundata;Dino;129.00;0.61;2013-11-13;2;Садок
Protoperidinium pellucidum;Dino;771.00;6.94;2013-11-13;2;Садок
Dictyocha fibula;Chry;386.00;36.85;2013-11-13;5;Садок
Bacteriastrum furcatum;Bacil;129.00;0.36;2013-11-13;5;Садок
Cerataulina dentata;Bacil;129.00;0.82;2013-11-13;5;Садок
Coscinodiscus sp.;Bacil;386.00;107.52;2013-11-13;5;Садок
Pseudo–nitzschia pungens;Bacil;2057.00;30.86;2013-11-13;5;Садок
Skeletonema sp.;Bacil;34714.00;20.00;2013-11-13;5;Садок
Thalassionema frauenfeldii;Bacil;5014.00;51.01;2013-11-13;5;Садок
Thalassionema nitzschioides;Bacil;771.00;3.43;2013-11-13;5;Садок
Thalassiosira sp. (d=32);Bacil;257.00;2.07;2013-11-13;5;Садок
Protoperidinium bipes;Dino;257.00;0.67;2013-11-13;5;Садок
Protoperidinium conicum;Dino;129.00;15.72;2013-11-13;5;Садок
Prorocentrum micans;Dino;514.00;6.07;2013-11-13;5;Садок
Dictyocha fibula;Chry;143.00;13.65;2013-11-27;0;Садок
Cocconeis scutellum;Bacil;286.00;0.37;2013-11-27;0;Садок
Ceratoneis closterium;Bacil;143.00;0.08;2013-11-27;0;Садок
Licmophora abbreviata;Bacil;286.00;0.17;2013-11-27;0;Садок
Navicula sp.;Bacil;286.00;0.54;2013-11-27;0;Садок
Pleurosigma formosum;Bacil;286.00;17.14;2013-11-27;0;Садок
Skeletonema sp.;Bacil;6143.00;3.54;2013-11-27;0;Садок
Thalassionema frauenfeldii;Bacil;3429.00;34.88;2013-11-27;0;Садок
Thalassionema nitzschioides;Bacil;1143.00;5.08;2013-11-27;0;Садок
Gyrodinium fusiforme;Dino;143.00;3.83;2013-11-27;0;Садок
Protoperidinium pellucidum;Dino;286.00;2.57;2013-11-27;0;Садок
Prorocentrum micans;Dino;143.00;1.69;2013-11-27;0;Садок
Skeletonema costatum;Bacil;1429.00;0.82;2013-11-27;2;Садок
Thalassionema frauenfeldii;Bacil;714.00;7.27;2013-11-27;2;Садок
Thalassionema nitzschioides;Bacil;429.00;1.91;2013-11-27;2;Садок
Dictyocha fibula;Chry;143.00;13.65;2013-11-27;5;Садок
Cerataulina dentata;Bacil;143.00;0.91;2013-11-27;5;Садок
Licmophora abbreviata;Bacil;286.00;0.17;2013-11-27;5;Садок
Navicula directa;Bacil;143.00;0.27;2013-11-27;5;Садок
Rhizosolenia setigera;Bacil;429.00;20.97;2013-11-27;5;Садок
Skeletonema costatum;Bacil;13143.00;7.57;2013-11-27;5;Садок
Thalassionema frauenfeldii;Bacil;714.00;7.27;2013-11-27;5;Садок
Thalassionema nitzschioides;Bacil;3000.00;13.34;2013-11-27;5;Садок
Thalassiosira sp. (d=32);Bacil;1286.00;10.34;2013-11-27;5;Садок
Dinophysis acuta;Dino;143.00;4.29;2013-11-27;5;Садок
Gyrodinium falcatum;Dino;143.00;15.84;2013-11-27;5;Садок
Gyrodinium spirale;Dino;143.00;15.84;2013-11-27;5;Садок
Protoperidinium bipes;Dino;143.00;0.37;2013-11-27;5;Садок
Protoperidinium pellucidum;Dino;429.00;3.86;2013-11-27;5;Садок
Prorocentrum micans;Dino;143.00;1.69;2013-11-27;5;Садок
Dictyocha fibula;Chry;184.00;17.60;2013-12-12;0;Садок
Cocconeis scutellum;Bacil;737.00;0.96;2013-12-12;0;Садок
Ceratoneis closterium;Bacil;553.00;0.31;2013-12-12;0;Садок
Navicula transitans var. derasa;Bacil;737.00;1.11;2013-12-12;0;Садок
Nitzschia sp.;Bacil;368.00;0.92;2013-12-12;0;Садок
Pleurosigma formosum;Bacil;184.00;11.05;2013-12-12;0;Садок
Thalassionema frauenfeldii;Bacil;2395.00;24.36;2013-12-12;0;Садок
Thalassionema nitzschioides;Bacil;553.00;2.46;2013-12-12;0;Садок
Thalassiosira nordenskioeldii;Bacil;2395.00;101.51;2013-12-12;0;Садок
Thalassiosira sp. (d=32);Bacil;3132.00;25.17;2013-12-12;0;Садок
Cryptomonas sp.;Cryp;553.00;0.13;2013-12-12;0;Садок
Gymnodinium simplex;Dino;184.00;0.05;2013-12-12;0;Садок
Gyrodinium fusiforme;Dino;368.00;9.87;2013-12-12;0;Садок
Gyrodinium spirale;Dino;184.00;20.42;2013-12-12;0;Садок
Oxytoxum sceptrum;Dino;184.00;0.06;2013-12-12;0;Садок
Protoperidinium bipes;Dino;184.00;0.48;2013-12-12;0;Садок
Protoperidinium pellucidum;Dino;368.00;3.31;2013-12-12;0;Садок
Chattonella sp.;Raph;421474.00;7295.29;2013-12-12;0;Садок
Cocconeis scutellum;Bacil;175.00;0.23;2013-12-12;2;Садок
Diploneis smithii;Bacil;175.00;0.74;2013-12-12;2;Садок
Navicula transitans var. derasa;Bacil;702.00;1.06;2013-12-12;2;Садок
Nitzschia sp.;Bacil;175.00;0.44;2013-12-12;2;Садок
Guinardia striata;Bacil;175.00;0.63;2013-12-12;2;Садок
Skeletonema sp.;Bacil;702.00;0.40;2013-12-12;2;Садок
Thalassiosira sp. (d=32);Bacil;526.00;4.23;2013-12-12;2;Садок
Gymnodinium simplex;Dino;351.00;0.10;2013-12-12;2;Садок
Gyrodinium fusiforme;Dino;1053.00;28.19;2013-12-12;2;Садок
Oxytoxum sceptrum;Dino;175.00;0.06;2013-12-12;2;Садок
Oblea rotundata;Dino;175.00;0.83;2013-12-12;2;Садок
Protoperidinium bipes;Dino;175.00;0.46;2013-12-12;2;Садок
Protoperidinium pellucidum;Dino;702.00;6.31;2013-12-12;2;Садок
Chattonella sp.;Raph;342456.00;5927.57;2013-12-12;2;Садок
Chaetoceros teres;Bacil;175.00;4.84;2013-12-12;5;Садок
Cocconeis scutellum;Bacil;877.00;1.14;2013-12-12;5;Садок
Ceratoneis closterium;Bacil;702.00;0.39;2013-12-12;5;Садок
Diploneis smithii;Bacil;175.00;0.74;2013-12-12;5;Садок
Ditylum brightwellii;Bacil;175.00;8.33;2013-12-12;5;Садок
Navicula transitans var. derasa;Bacil;1053.00;1.59;2013-12-12;5;Садок
Nitzschia sp.;Bacil;526.00;1.32;2013-12-12;5;Садок
Skeletonema sp.;Bacil;1404.00;0.81;2013-12-12;5;Садок
Thalassionema nitzschioides;Bacil;702.00;3.12;2013-12-12;5;Садок
Thalassiosira sp. (d=32);Bacil;1053.00;8.46;2013-12-12;5;Садок
Cryptomonas sp.;Cryp;1053.00;0.24;2013-12-12;5;Садок
Gyrodinium fusiforme;Dino;175.00;4.70;2013-12-12;5;Садок
Gyrodinium spirale;Dino;702.00;77.79;2013-12-12;5;Садок
Oxytoxum sceptrum;Dino;877.00;0.28;2013-12-12;5;Садок
Protoperidinium pellucidum;Dino;1228.00;11.05;2013-12-12;5;Садок
Chattonella sp.;Raph;381754.00;6607.79;2013-12-12;5;Садок
Pseudo–nitzschia pungens;Bacil;900.00;13.50;2013-12-25;0;Садок
Thalassionema frauenfeldii;Bacil;180.00;1.83;2013-12-25;0;Садок
Thalassiosira sp. (d=32);Bacil;540.00;4.34;2013-12-25;0;Садок
Gymnodinium simplex;Dino;360.00;0.10;2013-12-25;0;Садок
Gyrodinium spirale;Dino;180.00;19.95;2013-12-25;0;Садок
Heterocapsa triquetra;Dino;180.00;0.67;2013-12-25;0;Садок
Oxytoxum sceptrum;Dino;540.00;0.17;2013-12-25;0;Садок
Oblea rotundata;Dino;180.00;0.85;2013-12-25;0;Садок
Protoperidinium bipes;Dino;540.00;1.40;2013-12-25;0;Садок
Protoperidinium pellucidum;Dino;180.00;1.62;2013-12-25;0;Садок
Cocconeis scutellum;Bacil;570.00;0.74;2013-12-25;2;Садок
Ditylum brightwellii;Bacil;190.00;9.02;2013-12-25;2;Садок
Dinophysis acuminata;Dino;190.00;7.02;2013-12-25;2;Садок
Gyrodinium fusiforme;Dino;380.00;10.18;2013-12-25;2;Садок
Heterocapsa triquetra;Dino;190.00;0.71;2013-12-25;2;Садок
Katodinium glaucum;Dino;570.00;1.65;2013-12-25;2;Садок
Oblea rotundata;Dino;190.00;0.90;2013-12-25;2;Садок
Protoperidinium conicum;Dino;190.00;23.23;2013-12-25;2;Садок
Protoperidinium pellucidum;Dino;190.00;1.71;2013-12-25;2;Садок
Small flagellata;Small flagellata;2660.00;0.11;2013-12-25;2;Садок
Cocconeis scutellum;Bacil;965.00;1.25;2013-12-25;5;Садок
Grammatophora marina;Bacil;772.00;8.44;2013-12-25;5;Садок
Licmophora abbreviata;Bacil;1351.00;0.81;2013-12-25;5;Садок
Navicula transitans var. derasa;Bacil;386.00;0.58;2013-12-25;5;Садок
Nitzschia sp.;Bacil;772.00;1.93;2013-12-25;5;Садок
Odontella aurita;Bacil;386.00;9.47;2013-12-25;5;Садок
Pleurosigma formosum;Bacil;1351.00;81.05;2013-12-25;5;Садок
Thalassiosira nordenskioeldii;Bacil;193.00;8.18;2013-12-25;5;Садок
Gymnodinium simplex;Dino;386.00;0.11;2013-12-25;5;Садок
Dictyocha fibula;Chry;184.00;17.60;2014-01-09;0;Садок
Ceratoneis closterium;Bacil;184.00;0.10;2014-01-09;0;Садок
Eucampia zodiacus;Bacil;184.00;3.08;2014-01-09;0;Садок
Pleurosigma formosum;Bacil;368.00;22.11;2014-01-09;0;Садок
Skeletonema sp.;Bacil;1105.00;0.64;2014-01-09;0;Садок
Thalassionema frauenfeldii;Bacil;368.00;3.75;2014-01-09;0;Садок
Thalassiosira nordenskioeldii;Bacil;737.00;31.24;2014-01-09;0;Садок
Gymnodinium simplex;Dino;553.00;0.16;2014-01-09;0;Садок
Protoperidinium bipes;Dino;184.00;0.48;2014-01-09;0;Садок
Eutreptia lanowii;Eugle;553.00;0.57;2014-01-09;0;Садок
Cocconeis scutellum;Bacil;175.00;0.23;2014-01-09;2;Садок
Nitzschia sp.;Bacil;175.00;0.44;2014-01-09;2;Садок
Pleurosigma formosum;Bacil;175.00;10.53;2014-01-09;2;Садок
Skeletonema sp.;Bacil;1053.00;0.61;2014-01-09;2;Садок
Thalassionema frauenfeldii;Bacil;175.00;1.79;2014-01-09;2;Садок
Gymnodinium simplex;Dino;702.00;0.20;2014-01-09;2;Садок
Cocconeis scutellum;Bacil;158.00;0.21;2014-01-09;5;Садок
Ceratoneis closterium;Bacil;158.00;0.09;2014-01-09;5;Садок
Pleurosigma formosum;Bacil;158.00;9.47;2014-01-09;5;Садок
Thalassionema nitzschioides;Bacil;316.00;1.40;2014-01-09;5;Садок
Thalassiosira sp. (d=32);Bacil;632.00;5.08;2014-01-09;5;Садок
Gyrodinium fusiforme;Dino;316.00;8.46;2014-01-09;5;Садок
Oxytoxum sceptrum;Dino;158.00;0.05;2014-01-09;5;Садок
Protoperidinium conicum;Dino;158.00;19.30;2014-01-09;5;Садок
Small flagellata;Small flagellata;2368.00;0.10;2014-01-09;5;Садок
Cocconeis scutellum;Bacil;105.00;0.14;2014-01-24;0;Садок
Licmophora abbreviata;Bacil;421.00;0.25;2014-01-24;0;Садок
Melosira moniliformis;Bacil;211.00;3.00;2014-01-24;0;Садок
Odontella aurita;Bacil;105.00;2.58;2014-01-24;0;Садок
Thalassionema frauenfeldii;Bacil;2000.00;20.35;2014-01-24;0;Садок
Thalassionema nitzschioides;Bacil;316.00;1.40;2014-01-24;0;Садок
Thalassiosira nordenskioeldii;Bacil;105.00;4.46;2014-01-24;0;Садок
Heterocapsa triquetra;Dino;421.00;1.57;2014-01-24;0;Садок
Oblea rotundata;Dino;211.00;0.99;2014-01-24;0;Садок
Protoperidinium pellucidum;Dino;211.00;1.89;2014-01-24;0;Садок
Eutreptia lanowii;Eugle;105.00;0.11;2014-01-24;0;Садок
Small flagellata;Small flagellata;316.00;0.01;2014-01-24;0;Садок
Licmophora abbreviata;Bacil;860.00;0.52;2014-01-24;2;Садок
Navicula transitans var. derasa;Bacil;982.00;1.48;2014-01-24;2;Садок
Nitzschia rectilonga;Bacil;491.00;1.23;2014-01-24;2;Садок
Odontella aurita;Bacil;246.00;6.03;2014-01-24;2;Садок
Thalassionema frauenfeldii;Bacil;368.00;3.75;2014-01-24;2;Садок
Thalassiosira nordenskioeldii;Bacil;368.00;15.62;2014-01-24;2;Садок
Gymnodinium blax;Dino;491.00;0.28;2014-01-24;2;Садок
Heterocapsa triquetra;Dino;368.00;1.37;2014-01-24;2;Садок
Scrippsiella trochoidea;Dino;123.00;0.74;2014-01-24;2;Садок
Eutreptia lanowii;Eugle;123.00;0.13;2014-01-24;2;Садок
Small flagellata;Small flagellata;123.00;0.01;2014-01-24;2;Садок
Chaetoceros mitra;Bacil;561.00;4.78;2014-01-24;5;Садок
Navicula transitans var. derasa;Bacil;140.00;0.21;2014-01-24;5;Садок
Thalassiosira nordenskioeldii;Bacil;842.00;35.70;2014-01-24;5;Садок
Gymnodinium simplex;Dino;421.00;0.12;2014-01-24;5;Садок
Gyrodinium spirale;Dino;561.00;62.24;2014-01-24;5;Садок
Oxytoxum sceptrum;Dino;421.00;0.14;2014-01-24;5;Садок
Small flagellata;Small flagellata;842.00;0.03;2014-01-24;5;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2014-02-05;0;Садок
Navicula transitans var. derasa;Bacil;702.00;1.06;2014-02-05;0;Садок
Navicula directa;Bacil;982.00;1.84;2014-02-05;0;Садок
Odontella aurita;Bacil;561.00;13.77;2014-02-05;0;Садок
Pleurosigma formosum;Bacil;140.00;8.42;2014-02-05;0;Садок
Thalassionema frauenfeldii;Bacil;140.00;1.43;2014-02-05;0;Садок
Thalassiosira nordenskioeldii;Bacil;50526.00;2141.81;2014-02-05;0;Садок
Gyrodinium spirale;Dino;281.00;31.12;2014-02-05;0;Садок
Protoperidinium pellucidum;Dino;140.00;1.26;2014-02-05;0;Садок
Navicula transitans var. derasa;Bacil;246.00;0.37;2014-02-05;2;Садок
Melosira moniliformis;Bacil;246.00;3.50;2014-02-05;2;Садок
Navicula directa;Bacil;246.00;0.46;2014-02-05;2;Садок
Nitzschia rectilonga;Bacil;123.00;0.31;2014-02-05;2;Садок
Odontella aurita;Bacil;1105.00;27.12;2014-02-05;2;Садок
Pleurosigma formosum;Bacil;368.00;22.11;2014-02-05;2;Садок
Thalassiosira nordenskioeldii;Bacil;53053.00;2248.90;2014-02-05;2;Садок
Gyrodinium spirale;Dino;368.00;40.84;2014-02-05;2;Садок
Oxytoxum sceptrum;Dino;123.00;0.04;2014-02-05;2;Садок
Eutreptia lanowii;Eugle;123.00;0.13;2014-02-05;2;Садок
Cocconeis scutellum;Bacil;123.00;0.16;2014-02-05;5;Садок
Licmophora abbreviata;Bacil;246.00;0.15;2014-02-05;5;Садок
Navicula directa;Bacil;982.00;1.84;2014-02-05;5;Садок
Odontella aurita;Bacil;491.00;12.05;2014-02-05;5;Садок
Thalassionema frauenfeldii;Bacil;123.00;1.25;2014-02-05;5;Садок
Thalassiosira nordenskioeldii;Bacil;28000.00;1186.92;2014-02-05;5;Садок
Gyrodinium spirale;Dino;368.00;40.84;2014-02-05;5;Садок
Protoperidinium pellucidum;Dino;123.00;1.11;2014-02-05;5;Садок
Scrippsiella trochoidea;Dino;123.00;0.74;2014-02-05;5;Садок
Eutreptia lanowii;Eugle;246.00;0.25;2014-02-05;5;Садок
Navicula transitans var. derasa;Bacil;123.00;0.19;2014-02-18;0;Садок
Navicula directa;Bacil;123.00;0.23;2014-02-18;0;Садок
Pleurosigma formosum;Bacil;1105.00;66.32;2014-02-18;0;Садок
Thalassionema nitzschioides;Bacil;123.00;0.55;2014-02-18;0;Садок
Thalassiosira nordenskioeldii;Bacil;125754.00;5330.73;2014-02-18;0;Садок
Gyrodinium spirale;Dino;123.00;13.61;2014-02-18;0;Садок
Heterocapsa triquetra;Dino;123.00;0.46;2014-02-18;0;Садок
Oblea rotundata;Dino;123.00;0.58;2014-02-18;0;Садок
Eutreptia lanowii;Eugle;982.00;1.02;2014-02-18;0;Садок
Navicula transitans var. derasa;Bacil;667.00;1.01;2014-02-18;2;Садок
Pleurosigma formosum;Bacil;333.00;20.00;2014-02-18;2;Садок
Thalassionema frauenfeldii;Bacil;167.00;1.70;2014-02-18;2;Садок
Thalassiosira nordenskioeldii;Bacil;42667.00;1808.64;2014-02-18;2;Садок
Gymnodinium blax;Dino;167.00;0.10;2014-02-18;2;Садок
Heterocapsa triquetra;Dino;333.00;1.24;2014-02-18;2;Садок
Oblea rotundata;Dino;333.00;1.57;2014-02-18;2;Садок
Protoperidinium pellucidum;Dino;167.00;1.50;2014-02-18;2;Садок
Eutreptia lanowii;Eugle;667.00;0.69;2014-02-18;2;Садок
Navicula transitans var. derasa;Bacil;632.00;0.95;2014-02-18;5;Садок
Pleurosigma formosum;Bacil;1579.00;94.74;2014-02-18;5;Садок
Thalassiosira nordenskioeldii;Bacil;140211.00;5943.52;2014-02-18;5;Садок
Gyrodinium spirale;Dino;316.00;35.01;2014-02-18;5;Садок
Oxytoxum sceptrum;Dino;474.00;0.15;2014-02-18;5;Садок
Protoperidinium pellucidum;Dino;158.00;1.42;2014-02-18;5;Садок
Eutreptia lanowii;Eugle;1105.00;1.15;2014-02-18;5;Садок
Cocconeis scutellum;Bacil;316.00;0.41;2014-03-04;0;Садок
Licmophora abbreviata;Bacil;316.00;0.19;2014-03-04;0;Садок
Navicula transitans var. derasa;Bacil;474.00;0.72;2014-03-04;0;Садок
Navicula directa;Bacil;158.00;0.30;2014-03-04;0;Садок
Pleurosigma formosum;Bacil;316.00;18.95;2014-03-04;0;Садок
Thalassiosira nordenskioeldii;Bacil;54947.00;2329.22;2014-03-04;0;Садок
Eutreptia lanowii;Eugle;158.00;0.16;2014-03-04;0;Садок
Cocconeis scutellum;Bacil;140.00;0.18;2014-03-04;2;Садок
Licmophora abbreviata;Bacil;1263.00;0.76;2014-03-04;2;Садок
Melosira moniliformis;Bacil;11088.00;157.76;2014-03-04;2;Садок
Navicula sp.;Bacil;1123.00;2.10;2014-03-04;2;Садок
Pseudo–nitzschia delicatissima;Bacil;421.00;0.04;2014-03-04;2;Садок
Nitzschia rectilonga;Bacil;1123.00;2.81;2014-03-04;2;Садок
Nitzschia sp.;Bacil;2526.00;1.52;2014-03-04;2;Садок
Odontella aurita;Bacil;143158.00;3512.09;2014-03-04;2;Садок
Pleurosigma formosum;Bacil;421.00;25.26;2014-03-04;2;Садок
Thalassionema frauenfeldii;Bacil;7018.00;71.39;2014-03-04;2;Садок
Thalassionema nitzschioides;Bacil;1263.00;5.62;2014-03-04;2;Садок
Thalassiosira sp. (d=40);Bacil;421.00;20.66;2014-03-04;2;Садок
Thalassiosira sp. (d=32);Bacil;4351.00;34.97;2014-03-04;2;Садок
Grammatophora marina;Bacil;2246.00;24.55;2014-03-04;5;Садок
Navicula septentrionalis;Bacil;1263.00;0.31;2014-03-04;5;Садок
Licmophora abbreviata;Bacil;16421.00;9.85;2014-03-04;5;Садок
